time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,drag_x,drag_y,drag_z,density,pressure,temperature,latitude,longitude,altitude
1438.0,1034561.065067975,4612178.439855669,5548998.941601669,-7327.221037907073,594.6763486667905,706.348862046075,0.9999996514531223,1.136517730250308e-11,0.000685812470717093,-0.0004761878713717051,2.388383083062889e-06,-1.96408402573962e-07,-3.249430221608985e-07,7.59668575282535e-15,1.266397956071103e-08,1128.04664666429,49.57475269824315,71.3491411964742,918300.0907028448
1460.0,869443.8097147174,4624357.836837684,5563443.502412986,-7349.225496793011,487.9221567388384,577.5952668144974,0.9999996255192578,1.010461989170814e-11,0.0007108697702695004,-0.0004935843535932082,2.397233415388493e-06,-1.584032460591813e-07,-2.576129928894836e-07,7.658059798614132e-15,1.271070006237442e-08,1125.757239170259,49.77653146535785,73.25191162662043,915461.5243556052
1481.0,711241.4521818582,4633748.940678435,5574536.092663089,-7366.702617535719,385.5601830365935,454.1431642762857,0.9999995997069985,8.40405386345198e-12,0.0007349621245258471,-0.0005103102180279227,2.403182551445563e-06,-1.232029938308462e-07,-1.970226739183488e-07,7.716625361448201e-15,1.275449540422587e-08,1123.517921624852,49.93718130776909,75.08595666841437,912745.3481669538
1500.0,571150.6295575865,4640213.201430323,5582125.983011247,-7379.245078108866,294.8524853083562,344.7499994149555,0.9999995760712767,6.431474001400299e-12,0.000756350503531564,-0.000525158245751464,2.406444902400201e-06,-9.235555037584048e-08,-1.454990041102173e-07,7.769637356684027e-15,1.279351067838971e-08,1121.44913467187,50.052612252987736,76.71580957940479,910340.6792006064
1520.0,423458.1724884224,4645153.630152904,5587867.331415267,-7389.495027791781,199.1569611572168,229.3451588183744,0.9999995503727527,3.808355616418354e-12,0.0007789397942700929,-0.0005408392455227051,2.407690863879907e-06,-6.100315435776296e-08,-9.484011999631512e-08,7.82550789561424e-15,1.283402414947702e-08,1119.230346835476,50.14690407553209,78.44056741029459,907806.9341800734
1541.0,271892.7324007212,4648229.912639306,5591355.221682139,-7396.848574404275,100.8814653959489,110.832952971782,0.9999995231822747,4.569852396798038e-13,0.0008021486625540187,-0.0005569495007663093,2.406575439525766e-06,-2.94178703902947e-08,-4.580475459359165e-08,7.884299501781954e-15,1.287603176372909e-08,1116.858322381772,50.21431616261216,80.21395304367587,905209.1911736056
1561.0,120209.3028202503,4649288.754944752,5592410.286554022,-7400.997802773627,2.457569078955978,-7.854056998811635,0.9999994951588284,-3.657460165808372e-12,0.0008253864045514242,-0.0005730788528504171,2.403201238496681e-06,-7.030838662573051e-10,-3.259472876982163e-09,7.94046614227643e-15,1.291561454537065e-08,1114.561995972932,50.251913877874,81.9969498116114,902609.0777890645
1582.0,-27825.29808416475,4648376.78337545,5591094.244761383,-7401.952298447784,-93.66827886841658,-123.7657732550699,0.9999994670414827,-8.108681816316894e-12,0.0008480626158851119,-0.0005888179262266793,2.537474286351556e-06,3.029269540630999e-08,4.106060594895377e-08,7.999683446857758e-15,1.295682007133841e-08,1112.114982178439,50.25971734627938,83.7332564428229,900073.9111386593
1601.0,-168448.4347223526,4645729.063812234,5587696.036195048,-7400.021965804002,-185.0454822716488,-233.9475105323203,0.9999994396242664,-1.233815598876067e-11,0.0008696050169961848,-0.0006037700455187628,2.666833148843259e-06,6.138395148196435e-08,8.550102614710667e-08,8.053526370224804e-15,1.299386363505023e-08,1109.872122016444,50.240641518382304,85.38746813260455,897667.0306473635
1620.0,-309008.5941083122,4641344.918002297,5582204.099016044,-7395.322402322212,-276.4443199344943,-344.1514017974157,0.9999994115194087,-1.656763015272552e-11,0.0008911474175092811,-0.0006187221643956694,2.795827083415916e-06,9.538963152755543e-08,1.341104882377254e-07,8.107669741044406e-15,1.30307530518422e-08,1107.604375110143,50.19574166143401,87.04050158095563,895262.5580259673
